Product Name,Price
Scuba Oversized Half-Zip Hoodie,99.0
Strongfeel Women's Training Shoe,84.0
Scuba High-Rise Mini Skirt,49.0
"lululemon Align\'99 Asymmetrical Bra \
Light Support, A/B Cup",29.0
Scuba Full-Zip Cropped Hoodie,79.0
"Ebb to Street Cropped Racerback Tank Top \
Light Support, B/C Cup",49.0
Wundermost Ultra-Soft Nulu High-Neck Sleeveless Bodysuit,44.0
"lululemon Align\'99 High-Rise Short 4""",44.0
"Softstreme High-Rise Short 4""",54.0
"lululemon Align\'99 Super-High-Rise Short 10""",39.0
Swiftly Tech Cropped Short-Sleeve Shirt 2.0,51.5
"lululemon Align\'99 High-Rise Pant 28""",64.0
Cates T-Shirt,34.0
Dance Studio Relaxed-Fit Mid-Rise Cargo Pant,94.0
Mist Over Windbreaker,109.0
Wundermost Ultra-Soft Nulu Tube Top,31.5
